,Unnamed: 0,accession_number,year,r,g,b,hex,value
4054,4054,D36271,1842,210,204,187,#d2ccbb,390
3783,3783,D35965,1842,211,202,181,#d3cab5,405
4055,4055,D36272,1842,211,209,194,#d3d1c2,420
3981,3981,D36185,1842,213,204,188,#d5ccbc,435
3731,3731,D35913,1842,218,204,185,#daccb9,450
2895,2895,D27652,1842,228,211,178,#e4d3b2,465
2844,2844,D27598,1842,236,223,199,#ecdfc7,480
2787,2787,D27541,1842,236,226,201,#ece2c9,495
4577,4577,N02374,1843,71,63,46,#473f2e,15
4015,4015,D36223,1843,133,105,77,#85694d,30
4698,4698,N03395,1843,141,124,96,#8d7c60,45
4592,4592,N02435,1843,149,136,110,#95886e,60
4016,4016,D36224,1843,169,144,111,#a9906f,75
4580,4580,N02377,1843,173,171,175,#adabaf,90
4575,4575,N02371,1843,177,177,165,#b1b1a5,105
3980,3980,D36184,1843,184,171,142,#b8ab8e,120
4010,4010,D36218,1843,189,173,146,#bdad92,135
3382,3382,D33596,1843,195,166,140,#c3a68c,150
3998,3998,D36204,1843,196,187,163,#c4bba3,165
3932,3932,D36124,1843,197,173,145,#c5ad91,180
3380,3380,D33594,1843,198,170,140,#c6aa8c,195
3794,3794,D35976,1843,199,172,138,#c7ac8a,210
4429,4429,D40516,1843,202,174,146,#caae92,225
4038,4038,D36249,1843,204,176,144,#ccb090,240
3387,3387,D33633,1843,204,190,171,#ccbeab,255
4091,4091,D36310,1843,204,196,183,#ccc4b7,270
3379,3379,D33592,1843,207,186,155,#cfba9b,285
4017,4017,D36225,1843,209,187,159,#d1bb9f,300
4043,4043,D36257,1843,209,208,190,#d1d0be,315
3381,3381,D33595,1843,211,196,173,#d3c4ad,330
3390,3390,D33636,1843,212,199,159,#d4c79f,345
4576,4576,N02372,1843,214,207,187,#d6cfbb,360
3383,3383,D33597,1843,215,199,173,#d7c7ad,375
4029,4029,D36237,1843,216,208,188,#d8d0bc,390
3384,3384,D33599,1843,219,206,185,#dbceb9,405
4430,4430,D40517,1843,221,213,195,#ddd5c3,420
3391,3391,D33653,1843,223,215,196,#dfd7c4,435
3830,3830,D36017,1843,225,216,196,#e1d8c4,450
4467,4467,D41498,1843,225,221,210,#e1ddd2,465
3479,3479,D35022,1844,26,26,27,#1a1a1b,15
3480,3480,D35030,1844,26,26,27,#1a1a1b,30
3516,3516,D35178,1844,26,27,28,#1a1b1c,45
3477,3477,D35011,1844,28,27,28,#1c1b1c,60
3476,3476,D35010,1844,28,27,29,#1c1b1d,75
3473,3473,D35007,1844,28,28,29,#1c1c1d,90
3475,3475,D35009,1844,28,28,29,#1c1c1d,105
3478,3478,D35012,1844,28,28,29,#1c1c1d,120
3517,3517,D35179,1844,28,29,30,#1c1d1e,135
3484,3484,D35044,1844,28,29,31,#1c1d1f,150
3472,3472,D35006,1844,29,29,30,#1d1d1e,165
3474,3474,D35008,1844,29,29,30,#1d1d1e,180
3471,3471,D35005,1844,29,29,31,#1d1d1f,195
4439,4439,D40719,1844,31,30,31,#1f1e1f,210
4586,4586,N02383,1844,74,69,48,#4a4530,225
4583,4583,N02380,1844,76,62,37,#4c3e25,240
4584,4584,N02381,1844,84,78,59,#544e3b,255
3552,3552,D35259,1844,122,113,97,#7a7161,270
3452,3452,D34971,1844,149,134,117,#958675,285
4579,4579,N02376,1844,156,149,127,#9c957f,300
3544,3544,D35247,1844,162,151,128,#a29780,315
4034,4034,D36244,1844,175,167,142,#afa78e,330
3551,3551,D35258,1844,182,174,153,#b6ae99,345
3939,3939,D36135,1844,184,171,144,#b8ab90,360
3549,3549,D35252,1844,184,171,148,#b8ab94,375
3453,3453,D34973,1844,186,169,152,#baa998,390
3456,3456,D34979,1844,186,171,158,#baab9e,405
3540,3540,D35241,1844,186,179,162,#bab3a2,420
3548,3548,D35251,1844,187,175,152,#bbaf98,435
3550,3550,D35253,1844,188,176,156,#bcb09c,450
3836,3836,D36023,1844,189,186,169,#bdbaa9,465
3546,3546,D35249,1844,190,179,151,#beb397,480
4578,4578,N02375,1844,190,196,213,#bec4d5,495
3545,3545,D35248,1844,191,181,158,#bfb59e,510
3505,3505,D35144,1844,198,187,166,#c6bba6,525
3338,3338,D33530,1844,198,189,167,#c6bda7,540
3806,3806,D35988,1844,199,194,182,#c7c2b6,555
3507,3507,D35146,1844,200,188,165,#c8bca5,570
3512,3512,D35151,1844,200,188,166,#c8bca6,585
3542,3542,D35243,1844,200,191,168,#c8bfa8,600
3504,3504,D35143,1844,200,192,172,#c8c0ac,615
3533,3533,D35234,1844,201,189,164,#c9bda4,630
3514,3514,D35153,1844,202,195,174,#cac3ae,645
3992,3992,D36197,1844,202,197,179,#cac5b3,660
3455,3455,D34977,1844,203,195,189,#cbc3bd,675
3541,3541,D35242,1844,204,194,170,#ccc2aa,690
3509,3509,D35148,1844,204,196,179,#ccc4b3,705
3511,3511,D35150,1844,206,200,183,#cec8b7,720
4374,4374,D40169,1844,207,202,183,#cfcab7,735
3537,3537,D35238,1844,208,194,166,#d0c2a6,750
3840,3840,D36027,1844,208,200,186,#d0c8ba,765
3506,3506,D35145,1844,208,201,178,#d0c9b2,780
3718,3718,D35899,1844,208,205,190,#d0cdbe,795
3527,3527,D35228,1844,209,193,160,#d1c1a0,810
3454,3454,D34975,1844,209,203,198,#d1cbc6,825
3525,3525,D35225,1844,210,199,182,#d2c7b6,840
3500,3500,D35139,1844,210,206,189,#d2cebd,855
3367,3367,D33564,1844,211,197,167,#d3c5a7,870
3465,3465,D34997,1844,211,197,187,#d3c5bb,885
3485,3485,D35045,1844,212,205,189,#d4cdbd,900
3858,3858,D36046,1844,212,206,187,#d4cebb,915
3459,3459,D34985,1844,213,202,190,#d5cabe,930
3532,3532,D35233,1844,213,205,187,#d5cdbb,945
3534,3534,D35235,1844,213,205,187,#d5cdbb,960
3498,3498,D35137,1844,213,206,186,#d5ceba,975
3535,3535,D35236,1844,213,209,196,#d5d1c4,990
3503,3503,D35142,1844,214,207,189,#d6cfbd,1005
4039,4039,D36250,1844,214,208,189,#d6d0bd,1020
3502,3502,D35141,1844,215,207,191,#d7cfbf,1035
3799,3799,D35981,1844,215,208,192,#d7d0c0,1050
3526,3526,D35227,1844,216,207,187,#d8cfbb,1065
3501,3501,D35140,1844,216,209,192,#d8d1c0,1080
3835,3835,D36022,1844,216,210,191,#d8d2bf,1095
3842,3842,D36029,1844,216,212,201,#d8d4c9,1110
3482,3482,D35041,1844,217,203,185,#d9cbb9,1125
3529,3529,D35230,1844,217,207,185,#d9cfb9,1140
3843,3843,D36030,1844,217,209,190,#d9d1be,1155
3991,3991,D36195,1844,218,207,186,#dacfba,1170
3481,3481,D35040,1844,218,209,193,#dad1c1,1185
3496,3496,D35135,1844,218,210,186,#dad2ba,1200
3497,3497,D35136,1844,218,211,190,#dad3be,1215
3530,3530,D35231,1844,218,211,193,#dad3c1,1230
3832,3832,D36019,1844,218,211,195,#dad3c3,1245
3531,3531,D35232,1844,218,213,196,#dad5c4,1260
7042,7042,T12425,1844,219,208,187,#dbd0bb,1275
4040,4040,D36252,1844,219,212,191,#dbd4bf,1290
4375,4375,D40171,1844,219,213,196,#dbd5c4,1305
3524,3524,D35224,1844,220,200,165,#dcc8a5,1320
3460,3460,D34987,1844,220,207,191,#dccfbf,1335
3528,3528,D35229,1844,220,208,179,#dcd0b3,1350
3466,3466,D34999,1844,220,210,197,#dcd2c5,1365
3536,3536,D35237,1844,220,212,190,#dcd4be,1380
3520,3520,D35219,1844,220,215,198,#dcd7c6,1395
3513,3513,D35152,1844,220,216,202,#dcd8ca,1410
3510,3510,D35149,1844,221,209,182,#ddd1b6,1425
3463,3463,D34993,1844,221,212,199,#ddd4c7,1440
3938,3938,D36133,1844,221,214,196,#ddd6c4,1455
3464,3464,D34995,1844,222,212,199,#ded4c7,1470
3458,3458,D34983,1844,222,213,204,#ded5cc,1485
3522,3522,D35221,1844,222,219,210,#dedbd2,1500
3457,3457,D34981,1844,223,212,199,#dfd4c7,1515
3470,3470,D35004,1844,223,214,192,#dfd6c0,1530
3515,3515,D35177,1844,223,215,198,#dfd7c6,1545
3519,3519,D35182,1844,223,217,202,#dfd9ca,1560
3518,3518,D35180,1844,223,219,207,#dfdbcf,1575
3499,3499,D35138,1844,226,218,197,#e2dac5,1590
3467,3467,D35001,1844,226,218,199,#e2dac7,1605
3521,3521,D35220,1844,226,220,200,#e2dcc8,1620
3468,3468,D35002,1844,227,220,205,#e3dccd,1635
3508,3508,D35147,1844,227,222,203,#e3decb,1650
3450,3450,D34963,1844,228,220,205,#e4dccd,1665
3469,3469,D35003,1844,228,221,201,#e4ddc9,1680
3462,3462,D34991,1844,228,221,210,#e4ddd2,1695
3495,3495,D35134,1844,228,223,205,#e4dfcd,1710
3523,3523,D35222,1844,229,217,196,#e5d9c4,1725
3461,3461,D34989,1844,229,221,205,#e5ddcd,1740
3449,3449,D34962,1844,229,222,203,#e5decb,1755
3487,3487,D35126,1844,229,228,216,#e5e4d8,1770
3538,3538,D35239,1844,231,215,189,#e7d7bd,1785
3831,3831,D36018,1844,231,225,213,#e7e1d5,1800
3483,3483,D35043,1844,231,225,215,#e7e1d7,1815
3486,3486,D35125,1844,233,221,202,#e9ddca,1830
3451,3451,D34964,1844,233,226,215,#e9e2d7,1845
3488,3488,D35127,1844,233,231,216,#e9e7d8,1860
3491,3491,D35130,1844,233,232,216,#e9e8d8,1875
3490,3490,D35129,1844,233,233,221,#e9e9dd,1890
3494,3494,D35133,1844,235,229,215,#ebe5d7,1905
3489,3489,D35128,1844,235,234,222,#ebeade,1920
3492,3492,D35131,1844,236,235,225,#ecebe1,1935
3493,3493,D35132,1844,241,241,230,#f1f1e6,1950
3604,3604,D35412,1845,28,28,28,#1c1c1c,15
3610,3610,D35419,1845,28,28,28,#1c1c1c,30
3605,3605,D35413,1845,28,29,29,#1c1d1d,45
3608,3608,D35416,1845,29,28,26,#1d1c1a,60
3618,3618,D35433,1845,30,31,30,#1e1f1e,75
3607,3607,D35415,1845,31,29,29,#1f1d1d,90
3594,3594,D35402,1845,31,31,30,#1f1f1e,105
3597,3597,D35405,1845,31,32,31,#1f201f,120
3595,3595,D35403,1845,32,32,30,#20201e,135
3599,3599,D35407,1845,32,32,31,#20201f,150
3602,3602,D35410,1845,32,33,32,#202120,165
3575,3575,D35382,1845,34,34,33,#222221,180
3601,3601,D35409,1845,34,34,34,#222222,195
3570,3570,D35377,1845,35,34,33,#232221,210
3576,3576,D35383,1845,35,34,33,#232221,225
3564,3564,D35371,1845,35,35,34,#232322,240
3571,3571,D35378,1845,35,35,34,#232322,255
3569,3569,D35376,1845,36,35,34,#242322,270
3574,3574,D35381,1845,36,35,35,#242323,285
3539,3539,D35240,1845,76,64,50,#4c4032,300
4751,4751,N03507,1845,119,106,82,#776a52,315
3637,3637,D35453,1845,123,130,109,#7b826d,330
3620,3620,D35436,1845,131,142,134,#838e86,345
3629,3629,D35445,1845,146,124,103,#927c67,360
3630,3630,D35446,1845,152,144,118,#989076,375
5475,5475,T05469,1845,164,146,116,#a49274,390
3579,3579,D35386,1845,170,171,153,#aaab99,405
3626,3626,D35442,1845,173,147,114,#ad9372,420
3635,3635,D35451,1845,176,174,154,#b0ae9a,435
3634,3634,D35450,1845,180,169,143,#b4a98f,450
3547,3547,D35250,1845,181,164,139,#b5a48b,465
3680,3680,D35855,1845,181,167,137,#b5a789,480
4590,4590,N02387,1845,181,172,146,#b5ac92,495
3578,3578,D35385,1845,182,174,155,#b6ae9b,510
3929,3929,D36120,1845,183,167,141,#b7a78d,525
3628,3628,D35444,1845,185,171,136,#b9ab88,540
3638,3638,D35456,1845,186,174,145,#baae91,555
3660,3660,D35480,1845,187,147,118,#bb9376,570
3592,3592,D35400,1845,187,171,137,#bbab89,585
3625,3625,D35441,1845,188,173,140,#bcad8c,600
3639,3639,D35457,1845,189,169,132,#bda984,615
3580,3580,D35387,1845,191,175,146,#bfaf92,630
3591,3591,D35399,1845,191,185,167,#bfb9a7,645
3554,3554,D35361,1845,193,189,170,#c1bdaa,660
3553,3553,D35260,1845,194,182,164,#c2b6a4,675
3589,3589,D35397,1845,194,186,162,#c2baa2,690
3619,3619,D35435,1845,194,194,169,#c2c2a9,705
3583,3583,D35390,1845,195,181,154,#c3b59a,720
3347,3347,D33540,1845,195,184,162,#c3b8a2,735
3632,3632,D35448,1845,196,185,162,#c4b9a2,750
3631,3631,D35447,1845,196,186,164,#c4baa4,765
3581,3581,D35388,1845,198,185,160,#c6b9a0,780
3590,3590,D35398,1845,198,189,162,#c6bda2,795
3582,3582,D35389,1845,199,188,163,#c7bca3,810
3543,3543,D35244,1845,199,191,175,#c7bfaf,825
3593,3593,D35401,1845,199,195,179,#c7c3b3,840
6681,6681,T10245,1845,200,190,171,#c8beab,855
3945,3945,D36143,1845,201,184,150,#c9b896,870
3724,3724,D35906,1845,202,192,171,#cac0ab,885
3587,3587,D35394,1845,203,190,164,#cbbea4,900
3679,3679,D35854,1845,203,190,167,#cbbea7,915
3636,3636,D35452,1845,204,195,176,#ccc3b0,930
3633,3633,D35449,1845,204,197,178,#ccc5b2,945
4093,4093,D36312,1845,204,197,178,#ccc5b2,960
3699,3699,D35877,1845,204,201,187,#ccc9bb,975
3584,3584,D35391,1845,205,192,163,#cdc0a3,990
4082,4082,D36301,1845,205,200,190,#cdc8be,1005
3662,3662,D35484,1845,206,162,120,#cea278,1020
3585,3585,D35392,1845,206,192,154,#cec09a,1035
3561,3561,D35368,1845,206,194,171,#cec2ab,1050
3777,3777,D35959,1845,206,195,175,#cec3af,1065
3627,3627,D35443,1845,209,194,165,#d1c2a5,1080
3654,3654,D35473,1845,209,198,181,#d1c6b5,1095
3655,3655,D35474,1845,209,201,183,#d1c9b7,1110
3659,3659,D35478,1845,211,180,149,#d3b495,1125
3621,3621,D35437,1845,211,194,167,#d3c2a7,1140
3770,3770,D35952,1845,211,206,189,#d3cebd,1155
3623,3623,D35439,1845,212,206,187,#d4cebb,1170
4088,4088,D36307,1845,213,206,198,#d5cec6,1185
3588,3588,D35395,1845,214,200,166,#d6c8a6,1200
3661,3661,D35482,1845,215,190,158,#d7be9e,1215
3663,3663,D35486,1845,216,193,148,#d8c194,1230
3768,3768,D35950,1845,216,208,187,#d8d0bb,1245
4089,4089,D36308,1845,216,208,197,#d8d0c5,1260
3622,3622,D35438,1845,217,209,192,#d9d1c0,1275
4090,4090,D36309,1845,217,212,205,#d9d4cd,1290
3763,3763,D35945,1845,218,205,178,#dacdb2,1305
3656,3656,D35475,1845,218,207,184,#dacfb8,1320
3776,3776,D35958,1845,218,215,202,#dad7ca,1335
3624,3624,D35440,1845,219,204,180,#dbccb4,1350
3649,3649,D35468,1845,219,204,180,#dbccb4,1365
3650,3650,D35469,1845,219,207,187,#dbcfbb,1380
3808,3808,D35990,1845,219,209,188,#dbd1bc,1395
4074,4074,D36293,1845,219,214,202,#dbd6ca,1410
4080,4080,D36299,1845,220,214,202,#dcd6ca,1425
3609,3609,D35417,1845,221,204,172,#ddccac,1440
3653,3653,D35472,1845,222,203,167,#decba7,1455
3640,3640,D35459,1845,222,204,172,#deccac,1470
3556,3556,D35363,1845,222,207,185,#decfb9,1485
3658,3658,D35477,1845,223,211,191,#dfd3bf,1500
3611,3611,D35420,1845,223,214,191,#dfd6bf,1515
3612,3612,D35421,1845,223,215,191,#dfd7bf,1530
3648,3648,D35467,1845,224,214,195,#e0d6c3,1545
3657,3657,D35476,1845,224,215,200,#e0d7c8,1560
3645,3645,D35464,1845,225,210,190,#e1d2be,1575
3652,3652,D35471,1845,225,213,190,#e1d5be,1590
3641,3641,D35460,1845,226,213,191,#e2d5bf,1605
3675,3675,D35850,1845,226,218,201,#e2dac9,1620
3586,3586,D35393,1845,227,213,178,#e3d5b2,1635
3603,3603,D35411,1845,227,224,204,#e3e0cc,1650
3644,3644,D35463,1845,228,214,191,#e4d6bf,1665
3606,3606,D35414,1845,228,215,181,#e4d7b5,1680
3577,3577,D35384,1845,228,215,193,#e4d7c1,1695
3642,3642,D35461,1845,228,216,196,#e4d8c4,1710
3616,3616,D35430,1845,228,218,193,#e4dac1,1725
3702,3702,D35880,1845,228,218,197,#e4dac5,1740
3647,3647,D35466,1845,228,218,199,#e4dac7,1755
3749,3749,D35931,1845,228,221,204,#e4ddcc,1770
3775,3775,D35957,1845,228,226,214,#e4e2d6,1785
3555,3555,D35362,1845,229,216,193,#e5d8c1,1800
3600,3600,D35408,1845,229,220,201,#e5dcc9,1815
3643,3643,D35462,1845,230,217,195,#e6d9c3,1830
3615,3615,D35427,1845,230,219,189,#e6dbbd,1845
3651,3651,D35470,1845,230,219,198,#e6dbc6,1860
3613,3613,D35424,1845,230,220,191,#e6dcbf,1875
3598,3598,D35406,1845,230,221,196,#e6ddc4,1890
3596,3596,D35404,1845,230,222,202,#e6deca,1905
3646,3646,D35465,1845,230,224,210,#e6e0d2,1920
3560,3560,D35367,1845,231,216,190,#e7d8be,1935
3614,3614,D35425,1845,231,218,188,#e7dabc,1950
3617,3617,D35431,1845,231,221,194,#e7ddc2,1965
3557,3557,D35364,1845,232,219,197,#e8dbc5,1980
3558,3558,D35365,1845,233,216,180,#e9d8b4,1995
3562,3562,D35369,1845,235,221,192,#ebddc0,2010
3559,3559,D35366,1845,236,219,193,#ecdbc1,2025
3573,3573,D35380,1845,237,226,198,#ede2c6,2040
3572,3572,D35379,1845,237,228,210,#ede4d2,2055
3563,3563,D35370,1845,239,227,202,#efe3ca,2070
3566,3566,D35373,1845,240,224,197,#f0e0c5,2085
3565,3565,D35372,1845,240,227,204,#f0e3cc,2100
3567,3567,D35374,1845,241,225,194,#f1e1c2,2115
3568,3568,D35375,1845,243,233,215,#f3e9d7,2130
4596,4596,N02684,1847,76,60,51,#4c3c33,15
202,202,A00846,1849,195,193,177,#c3c1b1,15
4914,4914,N04792,1849,225,218,199,#e1dac7,30
4732,4732,N03487,1849,227,201,159,#e3c99f,45
4749,4749,N03504,1850,123,92,62,#7b5c3e,15
4827,4827,N04277,1850,139,130,110,#8b826e,30
5749,5749,T08272,1850,209,187,159,#d1bb9f,45
6115,6115,T08947,1851,165,155,129,#a59b81,15
6116,6116,T08949,1851,180,159,124,#b49f7c,30
6185,6185,T09141,1851,203,186,158,#cbba9e,45
4757,4757,N03531,1851,208,192,160,#d0c0a0,60
6652,6652,T10115,1851,239,230,213,#efe6d5,75
4484,4484,N01722,1852,70,56,30,#46381e,15
4745,4745,N03500,1852,107,81,64,#6b5140,30
4621,4621,N02855,1852,169,156,141,#a99c8d,45
6078,6078,T08882,1853,175,158,134,#af9e86,15
6216,6216,T09206,1853,190,167,137,#bea789,30
4828,4828,N04278,1853,226,212,189,#e2d4bd,45
4983,4983,N05228,1855,111,109,72,#6f6d48,15
4637,4637,N03056,1855,113,75,65,#714b41,30
6685,6685,T10250,1855,113,97,74,#71614a,45
6149,6149,T09052,1855,149,147,120,#959378,60
4655,4655,N03202,1856,57,68,106,#39446a,15
4648,4648,N03156,1856,77,74,52,#4d4a34,30
4892,4892,N04625,1856,81,75,52,#514b34,45
5347,5347,T03168,1856,137,122,98,#897a62,60
4984,4984,N05229,1856,138,98,62,#8a623e,75
4721,4721,N03471,1856,177,156,125,#b19c7d,90
5235,5235,T01004,1856,201,175,146,#c9af92,105
4641,4641,N03060,1857,87,65,58,#57413a,15
6684,6684,T10249,1857,95,81,64,#5f5140,30
4623,4623,N02860,1857,116,127,95,#747f5f,45
4640,4640,N03059,1857,122,89,73,#7a5949,60
4638,4638,N03057,1857,123,91,89,#7b5b59,75
5002,5002,N05301,1857,131,98,50,#836232,90
4639,4639,N03058,1857,136,91,85,#885b55,105
4642,4642,N03061,1857,138,146,109,#8a926d,120
4622,4622,N02859,1857,140,100,88,#8c6458,135
5115,5115,N06251,1857,181,142,86,#b58e56,150
4918,4918,N04941,1857,235,230,199,#ebe6c7,165
201,201,A00844,1858,49,36,30,#31241e,15
200,200,A00843,1858,67,54,42,#43362a,30
4656,4656,N03204,1858,69,56,41,#453829,45
212,212,A00886,1858,83,70,61,#53463d,60
208,208,A00882,1858,84,77,67,#544d43,75
214,214,A00888,1858,85,75,67,#554b43,90
206,206,A00880,1858,89,79,66,#594f42,105
211,211,A00885,1858,90,85,79,#5a554f,120
209,209,A00883,1858,95,81,71,#5f5147,135
210,210,A00884,1858,95,91,83,#5f5b53,150
218,218,A00892,1858,96,80,69,#605045,165
199,199,A00842,1858,115,92,59,#735c3b,180
4878,4878,N04502,1858,157,151,134,#9d9786,195
4610,4610,N02752,1858,163,151,126,#a3977e,210
4980,4980,N05221,1858,190,173,146,#bead92,225
4618,4618,N02797,1858,204,189,156,#ccbd9c,240
4617,4617,N02796,1858,204,190,164,#ccbea4,255
234,234,A00908,1858,206,199,182,#cec7b6,270
226,226,A00900,1858,209,199,180,#d1c7b4,285
205,205,A00879,1858,213,202,184,#d5cab8,300
219,219,A00893,1858,214,201,178,#d6c9b2,315
230,230,A00904,1858,214,205,187,#d6cdbb,330
231,231,A00905,1858,216,207,190,#d8cfbe,345
216,216,A00890,1858,217,204,183,#d9ccb7,360
223,223,A00897,1858,218,208,188,#dad0bc,375
225,225,A00899,1858,218,209,190,#dad1be,390
232,232,A00906,1858,220,211,194,#dcd3c2,405
224,224,A00898,1858,221,212,192,#ddd4c0,420
229,229,A00903,1858,221,212,194,#ddd4c2,435
4609,4609,N02751,1858,222,200,165,#dec8a5,450
233,233,A00907,1858,222,213,195,#ded5c3,465
217,217,A00891,1858,223,212,193,#dfd4c1,480
228,228,A00902,1858,223,212,193,#dfd4c1,495
207,207,A00881,1858,224,211,187,#e0d3bb,510
4611,4611,N02753,1858,225,212,179,#e1d4b3,525
222,222,A00896,1858,226,215,194,#e2d7c2,540
213,213,A00887,1858,226,217,198,#e2d9c6,555
215,215,A00889,1858,226,217,200,#e2d9c8,570
227,227,A00901,1858,226,220,203,#e2dccb,585
220,220,A00894,1858,228,218,198,#e4dac6,600
221,221,A00895,1858,230,222,203,#e6decb,615
4807,4807,N04109,1859,57,50,42,#39322a,15
4985,4985,N05230,1859,64,46,36,#402e24,30
6147,6147,T09050,1859,121,114,84,#797254,45
4704,4704,N03409,1859,149,128,104,#958068,60
4516,4516,N02039,1859,188,174,126,#bcae7e,75
4765,4765,N03599,1860,55,50,36,#373224,15
5085,5085,N05877,1860,78,92,97,#4e5c61,30
4663,4663,N03283,1860,109,120,106,#6d786a,45
5086,5086,N05878,1860,120,73,45,#78492d,60
4644,4644,N03063,1860,138,96,52,#8a6034,75
4520,4520,N02109,1860,151,150,116,#979674,90
4612,4612,N02754,1860,189,177,154,#bdb19a,105
4619,4619,N02798,1860,200,177,137,#c8b189,120
4513,4513,N01976,1860,209,210,216,#d1d2d8,135
4866,4866,N04390,1861,71,44,36,#472c24,15
4504,4504,N01933,1861,77,65,42,#4d412a,30
6125,6125,T09028,1861,103,116,110,#67746e,45
4517,4517,N02040,1861,108,87,34,#6c5722,60
6137,6137,T09040,1861,112,114,100,#707264,75
4620,4620,N02799,1861,135,116,72,#877448,90
6145,6145,T09048,1861,140,122,89,#8c7a59,105
6135,6135,T09038,1861,152,158,143,#989e8f,120
307,307,A01171,1861,160,144,115,#a09073,135
6133,6133,T09036,1861,178,179,160,#b2b3a0,150
4794,4794,N03872,1861,187,169,118,#bba976,165
308,308,A01172,1861,197,185,160,#c5b9a0,180
306,306,A01170,1861,213,205,181,#d5cdb5,195
4643,4643,N03062,1862,33,16,11,#21100b,15
4505,4505,N01934,1862,47,36,19,#2f2413,30
4791,4791,N03822,1862,47,50,51,#2f3233,45
4986,4986,N05231,1862,61,38,32,#3d2620,60
4514,4514,N01977,1862,105,97,77,#69614d,75
6151,6151,T09054,1862,105,98,79,#69624f,90
4981,4981,N05222,1862,110,90,69,#6e5a45,105
6127,6127,T09030,1862,155,155,122,#9b9b7a,120
6129,6129,T09032,1862,190,169,137,#bea989,135
4982,4982,N05223,1862,199,181,156,#c7b59c,150
5468,5468,T05011,1863,48,52,59,#30343b,15
237,237,A01019,1863,57,47,35,#392f23,30
236,236,A01018,1863,65,53,39,#413527,45
4660,4660,N03228,1863,126,116,103,#7e7467,60
6123,6123,T09026,1863,170,154,115,#aa9a73,75
4987,4987,N05233,1863,202,166,37,#caa625,90
4788,4788,N03786,1863,202,197,180,#cac5b4,105
305,305,A01169,1863,207,193,167,#cfc1a7,120
6132,6132,T09035,1863,210,186,169,#d2baa9,135
4633,4633,N03023,1863,215,194,165,#d7c2a5,150
4998,4998,N05250,1864,78,76,27,#4e4c1b,15
4989,4989,N05235,1864,117,72,45,#75482d,30
5345,5345,T03063,1864,132,106,78,#846a4e,45
4805,4805,N04089,1864,142,82,45,#8e522d,60
4630,4630,N03009,1864,144,111,77,#906f4d,75
4988,4988,N05234,1864,151,70,34,#974622,90
4645,4645,N03064,1864,180,143,104,#b48f68,105
4661,4661,N03229,1864,201,184,162,#c9b8a2,120
5097,5097,N05923,1864,207,177,187,#cfb1bb,135
4597,4597,N02685,1864,214,170,138,#d6aa8a,150
6152,6152,T09055,1864,216,212,189,#d8d4bd,165
4829,4829,N04289,1864,240,234,217,#f0ead9,180
6124,6124,T09027,1865,133,143,128,#858f80,15
6126,6126,T09029,1865,144,152,134,#909886,30
6130,6130,T09033,1865,187,184,171,#bbb8ab,45
4923,4923,N04973,1865,198,192,175,#c6c0af,60
5865,5865,T08525,1865,214,206,191,#d6cebf,75
4928,4928,N05000,1866,74,77,95,#4a4d5f,15
6122,6122,T09023,1866,139,158,161,#8b9ea1,30
4814,4814,N04211,1866,143,128,86,#8f8056,45
6121,6121,T09022,1866,206,205,187,#cecdbb,60
4887,4887,N04584,1867,176,121,83,#b07953,15
4501,4501,N01911,1867,219,208,182,#dbd0b6,30
4753,4753,N03516,1868,114,98,59,#72623b,15
5469,5469,T05018,1868,202,166,138,#caa68a,30
6471,6471,T09600,1869,68,68,58,#44443a,15
5026,5026,N05460,1870,66,60,41,#423c29,15
6222,6222,T09215,1871,153,148,133,#999485,15
6221,6221,T09214,1871,178,171,152,#b2ab98,30
4614,4614,N02762,1872,136,111,61,#886f3d,15
4706,4706,N03428,1873,82,70,60,#52463c,15
4755,4755,N03525,1874,120,94,52,#785e34,15
4893,4893,N04638,1875,111,122,93,#6f7a5d,15
6686,6686,T10251,1875,207,195,177,#cfc3b1,30
3,3,A00061,1877,125,125,114,#7d7d72,15
4,4,A00062,1877,126,126,114,#7e7e72,30
5105,5105,N06017,1878,208,195,168,#d0c3a8,15
4800,4800,N03986,1879,51,94,75,#335e4b,15
4478,4478,N01713,1879,174,157,128,#ae9d80,30
4593,4593,N02436,1880,201,186,159,#c9ba9f,15
4896,4896,N04643,1882,127,123,108,#7f7b6c,15
5186,5186,T00457,1882,133,117,110,#85756e,30
4707,4707,N03432,1882,202,171,134,#caab86,45
4479,4479,N01715,1883,163,188,216,#a3bcd8,15
5334,5334,T02106,1884,62,60,55,#3e3c37,15
5029,5029,N05570,1885,125,117,97,#7d7561,15
5335,5335,T02107,1885,159,155,144,#9f9b90,30
4874,4874,N04433,1886,129,113,95,#81715f,15
4473,4473,N01704,1887,169,121,87,#a97957,15
4503,4503,N01932,1889,59,53,41,#3b3529,15
4485,4485,N01723,1889,119,105,79,#77694f,30
4476,4476,N01709,1889,145,133,77,#91854d,45
4472,4472,N01703,1889,183,158,112,#b79e70,60
4920,4920,N04951,1890,60,66,46,#3c422e,15
5354,5354,T03313,1890,171,141,92,#ab8d5c,30
4919,4919,N04950,1890,185,172,132,#b9ac84,45
4889,4889,N04588,1891,155,130,101,#9b8265,15
4477,4477,N01710,1892,180,175,154,#b4af9a,15
4502,4502,N01931,1893,83,74,42,#534a2a,15
5313,5313,T01930,1893,151,99,40,#976328,30
