,accession_number,year,r,g,b
2693,D25449,1820,199,179,145
2694,D25450,1820,153,143,115
2695,D25451,1824,151,133,109
2696,D25452,1820,215,206,182
2697,D25453,1820,143,98,72
2698,D25456,1837,162,156,136
2699,D25457,1837,199,195,203
2700,D25458,1820,138,123,97
2701,D25460,1822,71,67,58
2702,D25461,1822,226,219,204
2703,D25462,1822,219,213,197
2704,D25463,1820,218,213,196
2705,D25464,1820,221,216,198
2706,D25465,1835,223,216,197
2707,D25466,1835,204,196,174
2708,D25467,1830,132,114,96
2709,D25468,1824,180,166,135
2710,D25469,1824,188,166,125
2711,D25470,1825,101,93,74
2712,D25471,1825,206,199,181
2713,D25472,1835,205,182,149
2714,D25473,1832,221,214,195
2715,D25474,1830,206,178,144
2716,D25475,1820,218,201,172
2717,D25476,1820,217,202,176
2718,D25477,1825,211,207,192
2719,D25478,1820,119,104,65
2720,D25479,1823,224,213,194
2721,D25480,1823,196,194,174
2722,D25481,1820,205,190,158
2723,D25482,1820,215,206,184
2724,D25483,1820,193,181,149
2725,D25484,1825,195,171,142
2726,D25485,1837,221,205,172
2727,D25486,1825,211,191,154
2728,D25487,1820,186,176,157
2729,D25488,1830,218,205,180
2730,D25489,1830,205,192,167
2731,D25490,1824,195,166,121
2732,D25491,1824,181,154,120
2733,D25492,1820,195,181,152
2734,D25493,1820,212,194,169
2735,D25494,1820,219,207,187
2736,D25495,1820,199,181,151
2737,D25496,1820,206,198,177
2738,D25497,1820,205,200,176
2739,D25498,1820,192,180,157
2740,D25500,1824,199,189,168
2741,D25501,1820,196,191,204
2742,D25502,1822,213,210,194
2743,D25503,1822,202,197,174
2744,D25504,1820,201,187,155
2745,D25505,1820,192,184,159
2746,D25506,1837,213,203,178
2747,D25507,1820,207,195,167
2748,D25508,1820,203,199,179
2749,D25509,1825,207,199,179
2750,D25510,1820,203,187,154
2751,D25511,1820,209,201,175
2752,D25512,1820,215,207,187
2753,D25513,1820,189,176,147
2754,D25514,1828,221,211,198
2755,D25520,1822,249,242,230
2756,D25914,1831,158,151,127
2757,D25916,1831,186,180,159
2758,D25918,1831,188,182,162
2759,D25920,1831,173,168,150
2760,D25922,1831,170,162,138
2761,D25924,1831,186,177,150
2762,D25926,1831,188,177,149
2763,D25928,1831,190,179,149
2764,D27518,1826,228,215,187
2765,D27519,1826,223,211,184
2766,D27520,1835,221,212,190
2767,D27521,1835,220,216,199
2768,D27522,1835,221,207,187
2769,D27523,1826,236,228,203
2770,D27524,1835,221,211,193
2771,D27525,1826,225,219,196
2772,D27526,1826,223,216,193
2773,D27527,1830,215,208,188
2774,D27528,1835,241,228,200
2775,D27529,1830,235,229,209
2776,D27530,1826,239,233,214
2777,D27531,1826,242,235,218
2778,D27532,1830,234,225,201
2779,D27533,1830,240,229,202
2780,D27534,1830,233,227,203
2781,D27535,1830,237,224,197
2782,D27536,1830,230,219,191
2783,D27537,1830,233,219,191
2784,D27538,1826,235,221,196
2785,D27539,1826,236,224,198
2786,D27540,1839,240,232,211
2787,D27541,1842,236,226,201
2788,D27542,1839,238,229,206
2789,D27543,1826,197,179,145
2790,D27544,1826,219,210,185
2791,D27545,1826,210,202,177
2792,D27546,1840,231,222,201
2793,D27547,1826,220,211,187
2794,D27548,1826,226,218,194
2795,D27549,1826,222,211,183
2796,D27550,1826,228,220,196
2797,D27551,1826,199,180,152
2798,D27552,1826,224,215,191
2799,D27553,1826,225,217,193
2800,D27554,1826,218,208,185
2801,D27555,1826,215,201,168
2802,D27556,1835,216,215,204
2803,D27557,1835,230,220,195
2804,D27558,1835,235,230,214
2805,D27559,1835,241,232,214
