,id,name,artwork_count,gender,artistId,thumbnailUrl
157,160,"Doyle, John",1,Male,160,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6a9a5b3741b884df47c9d38189a4c21f
158,161,"Dressler, Conrad",1,Male,161,
159,162,"Dupont, Gainsborough",2,Male,162,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6266149fe92f9c99e04ae7b17789d65a
160,163,"Drury, Alfred",1,Male,163,
161,164,"Dyce, William",9,Male,164,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0a369374a4549941d43acb28ef2bf1ae
162,165,"East, Sir Alfred",1,Male,165,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6fc63163f79a73c62aa13e435bde1284
163,166,"Eastlake, Sir Charles Lock",7,Male,166,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/b7c44dc73113092b1a3cd6faacf77b5b
164,167,"Edridge, Henry",9,Male,167,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9aa495deb3d1a14615d3ece5f693d093
165,168,"Edwards, Edwin",1,Male,168,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a3b16aa1fd6a13a37e43cff327690736
166,169,"Egg, Augustus Leopold",5,Male,169,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/50ad244fb551610edc32cf66e7d49b4e
167,170,"Egley, William Maw",1,Male,170,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3b15cc7b1c9e8c0dbcbc4fe39780a716
168,171,"Elmore, Alfred",1,Male,171,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/07d466c4b27bb0529aaded3a6cb23895
169,172,"Etty, William",22,Male,172,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/cb6327d5000d517878042f382abacf9e
170,173,"Eworth, Hans",3,Male,173,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f0ca75f95a82dcfaeee335ca54306869
171,174,"Faed, Thomas",3,Male,174,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/977ca13275a4cccfeef3f630e3b9a120
172,175,"Fagan, Robert",1,Male,175,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/905a1f2f824c9e73ee25a92794eaa896
173,176,"Farington, Joseph",21,Male,176,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c8b81c734141656b8b17f2a890ead6ad
174,177,"Farquharson, David",2,Male,177,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0433d83d61e0c3674b07d1cc082f7cc2
